中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,7 ms,1144 Mbps,146432 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,5 ms,1208 Mbps,154624 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,25 ms,976 Mbps,124928 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,14 ms,650 Mbps,83251 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,13 ms,476 Mbps,61030 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,5 ms,693 Mbps,88780 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,1464 Mbps,187392 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,3 ms,62 Mbps,8007 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,22 ms,612 Mbps,78336 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,545 Mbps,69836 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,15 ms,138 Mbps,17715 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,26 ms,394 Mbps,50483 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,5 ms,1312 Mbps,167936 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,34 ms,543 Mbps,69529 kB/s
129.159.37.229,443,129.159.37.229,US,San Jose,中转,8 ms,90 Mbps,11571 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,6 ms,9 Mbps,1243 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,81 ms,345 Mbps,44236 kB/s
18.216.55.100,443,18.216.55.100,US,Ashburn,中转,86 ms,265 Mbps,33996 kB/s
129.146.251.53,443,2603:c020:d:2b01:cdfa:999a:db14:e7e8,US,Los Angeles,隧道,32 ms,904 Mbps,115712 kB/s
3.144.191.4,443,3.144.191.4,US,Ashburn,中转,87 ms,392 Mbps,50176 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,73 ms,347 Mbps,44441 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,19 ms,66 Mbps,8485 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,132 ms,42 Mbps,5417 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,149 ms,192 Mbps,24678 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,79 ms,27 Mbps,3493 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,114 ms,0 Mbps,94 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,96 ms,123 Mbps,15769 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,179 ms,112 Mbps,14438 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,126 ms,204 Mbps,26112 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,29 ms,116 Mbps,14848 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,191 ms,39 Mbps,5112 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,166 ms,102 Mbps,13107 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,198 ms,107 Mbps,13721 kB/s
47.251.108.178,443,47.251.108.178,US,San Jose,中转,58 ms,122 Mbps,15667 kB/s
138.3.254.39,443,138.3.254.39,96 Mbps,12288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,170 ms,55 Mbps,7061 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,163 ms,124 Mbps,15974 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,179 ms,3 Mbps,407 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,84 ms,140 Mbps,17920 kB/s
152.70.88.98,443,2a09:bac5:4753:1482::20b:6d,KR,Seoul,隧道,147 ms,42 Mbps,5459 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,144 ms,134 Mbps,17203 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,66 ms,284 Mbps,36454 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,174 ms,131 Mbps,16793 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,131 ms,134 Mbps,17203 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,171 ms,33 Mbps,4317 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,173 ms,42 Mbps,5395 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,228 ms,96 Mbps,12390 kB/s
152.70.235.207,443,152.70.235.207,KR,Seoul,中转,156 ms,44 Mbps,5740 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,169 ms,39 Mbps,5076 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,181 ms,104 Mbps,13312 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,174 ms,41 Mbps,5263 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,184 ms,105 Mbps,13516 kB/s
