中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,296 Mbps,37888 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,15 ms,728 Mbps,93286 kB/s
129.146.7.98,443,2a09:bac5:60ea:183c::26a:5f,US,Los Angeles,隧道,17 ms,73 Mbps,9359 kB/s
35.197.23.75,443,35.197.107.113,US,Seattle,隧道,25 ms,904 Mbps,115712 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,40 ms,1424 Mbps,182272 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,35 ms,1472 Mbps,188416 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,13 ms,347 Mbps,44441 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,15 ms,43 Mbps,5508 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,76 Mbps,9826 kB/s
34.82.76.253,443,34.145.63.188,US,Seattle,隧道,48 ms,912 Mbps,116736 kB/s
35.230.79.26,443,35.197.107.113,US,Seattle,隧道,21 ms,928 Mbps,118784 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,29 ms,1680 Mbps,215040 kB/s
198.46.188.190,443,2a09:bac5:a5fa:7cd::c7:19,US,Buffalo,隧道,92 ms,105 Mbps,13516 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,109 ms,1408 Mbps,180224 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,632 Mbps,80896 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,88 ms,636 Mbps,81408 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,40 ms,1000 Mbps,128000 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,53 ms,688 Mbps,88166 kB/s
13.57.182.91,443,2a09:bac1:76a0:1cf0::4:265,US,San Jose,隧道,165 ms,279 Mbps,35737 kB/s
158.101.209.150,443,2a0b:21c0:1007:1cb:0:d7af:c246:9973,DE,Frankfurt,隧道,149 ms,114 Mbps,14643 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,152 ms,43 Mbps,5617 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,59 ms,254 Mbps,32563 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,87 ms,249 Mbps,31948 kB/s
192.18.150.121,443,2a09:bac1:1480:248::312:77,CA,Toronto,隧道,112 ms,356 Mbps,45670 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,181 Mbps,23244 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,274 Mbps,35123 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,153 ms,100 Mbps,12800 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,229 ms,119 Mbps,15257 kB/s
34.154.129.158,443,2a0b:21c0:1007:1c9:0:8ce6:bf8f:8e9f,DE,Frankfurt,隧道,172 ms,91 Mbps,11673 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,77 Mbps,9971 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,91 ms,345 Mbps,44236 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,132 Mbps,16896 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,113 ms,18 Mbps,2428 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,122 Mbps,15667 kB/s
89.168.72.99,443,98.98.166.178,AE,Frankfurt,隧道,149 ms,122 Mbps,15667 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,75 ms,24 Mbps,3137 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,150 ms,42 Mbps,5446 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,147 ms,44 Mbps,5754 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,159 ms,44 Mbps,5665 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,207 ms,113 Mbps,14540 kB/s
8.219.228.186,443,8.219.228.186,SG,Singapore,中转,254 ms,53 Mbps,6859 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,197 ms,3 Mbps,453 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,21 ms,136 Mbps,17408 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,114 Mbps,14643 kB/s
