中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,37 Mbps,4849 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,422 Mbps,54067 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,53 ms,323 Mbps,41369 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,408 Mbps,52224 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,316 Mbps,40448 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,48 ms,421 Mbps,53964 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,16 ms,1072 Mbps,137216 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:366,US,Los Angeles,隧道,56 ms,77 Mbps,9968 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,103 ms,203 Mbps,26009 kB/s
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,51 ms,471 Mbps,60313 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,19 ms,738 Mbps,94515 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,471 Mbps,60313 kB/s
152.70.52.84,443,2a0b:21c0:1007:1ca:0:ff92:92e2:5000,DE,Frankfurt,隧道,111 ms,216 Mbps,27648 kB/s
129.146.209.97,443,129.146.209.97,US,Newark,中转,49 ms,261 Mbps,33484 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,113 ms,44 Mbps,5636 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,43 Mbps,5612 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,121 ms,212 Mbps,27136 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,184 Mbps,23552 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c9:0:c3db:6fbd:c07e,DE,Frankfurt,隧道,114 ms,195 Mbps,24985 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,108 ms,180 Mbps,23040 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,148 ms,3 Mbps,420 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,154 ms,143 Mbps,18329 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,114 ms,41 Mbps,5296 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,159 ms,46 Mbps,5897 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,161 ms,35 Mbps,4499 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,111 ms,49 Mbps,6308 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,153 ms,169 Mbps,21708 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,168 ms,102 Mbps,13107 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,219 ms,2 Mbps,349 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,178 ms,44 Mbps,5736 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,190 ms,40 Mbps,5199 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,210 ms,24 Mbps,3090 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,223 ms,33 Mbps,4328 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,206 ms,3 Mbps,466 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,211 ms,27 Mbps,3468 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,212 ms,1 Mbps,230 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,130 ms,0 Mbps,31 kB/s
8.219.95.212,443,8.222.240.96,SG,Singapore,隧道,281 ms,20 Mbps,2618 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,59 ms,241 Mbps,30924 kB/s
