中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,240 ms,32 Mbps,4179 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,74 ms,361 Mbps,46284 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,412 Mbps,52736 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,82 ms,339 Mbps,43417 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,93 ms,49 Mbps,6377 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,63 ms,598 Mbps,76595 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,71 ms,321 Mbps,41164 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,65 ms,468 Mbps,60006 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,19 ms,27 Mbps,3551 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,80 ms,3 Mbps,420 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,360 Mbps,46182 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,31 ms,54 Mbps,7003 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,308 Mbps,39526 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,92 ms,288 Mbps,36966 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,284 Mbps,36454 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,136 ms,13 Mbps,1760 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,130 ms,168 Mbps,21504 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,218 Mbps,27955 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,23 ms,44 Mbps,5675 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,32 ms,70 Mbps,9075 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,94 ms,207 Mbps,26521 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,93 ms,454 Mbps,58163 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,114 ms,45 Mbps,5785 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,213 ms,78 Mbps,9997 kB/s
