中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,33 ms,1240 Mbps,158720 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,37 ms,632 Mbps,80998 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,23 ms,62 Mbps,8007 kB/s
132.226.31.178,443,2a09:bac5:60ec:78::c:3a4,US,Los Angeles,隧道,20 ms,68 Mbps,8760 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,40 ms,621 Mbps,79564 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,25 ms,663 Mbps,84889 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,58 ms,643 Mbps,82329 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,32 ms,322 Mbps,41267 kB/s
192.9.138.241,443,192.9.138.241,US,960 Mbps,122880 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,205 Mbps,26316 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,68 ms,419 Mbps,53657 kB/s
47.88.24.237,443,47.88.24.237,US,San Jose,中转,62 ms,17 Mbps,2208 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,58 ms,187 Mbps,23961 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,22 ms,53 Mbps,6828 kB/s
129.146.168.102,443,104.28.205.111,US,Los Angeles,隧道,26 ms,52 Mbps,6690 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,102 ms,49 Mbps,6352 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,48 ms,233 Mbps,29900 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,25 ms,463 Mbps,59289 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,46 ms,536 Mbps,68608 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,94 ms,41 Mbps,5350 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,148 ms,133 Mbps,17100 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,41 ms,10 Mbps,1283 kB/s
