中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,136 Mbps,17510 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,80 ms,47 Mbps,6045 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,67 ms,264 Mbps,33894 kB/s
152.70.183.28,443,98.98.156.6,DE,Frankfurt,隧道,94 ms,140 Mbps,18022 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,638 Mbps,81715 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,31 ms,93 Mbps,11980 kB/s
192.9.138.241,443,192.9.138.241,US,277 Mbps,35532 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,96 ms,47 Mbps,6131 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,45 ms,121 Mbps,15564 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,85 ms,46 Mbps,5905 kB/s
152.70.29.124,443,2606:f240:f00:dd8d:0:2ea4:fe8d:5481,US,Frankfurt,隧道,90 ms,219 Mbps,28057 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,64 ms,131 Mbps,16793 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,152 ms,143 Mbps,18329 kB/s
150.230.34.116,443,104.28.201.73,US,San Jose,隧道,69 ms,286 Mbps,36659 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,361 Mbps,46284 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,90 ms,234 Mbps,30003 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,241 Mbps,30924 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,89 ms,40 Mbps,5244 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,310 Mbps,39731 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,88 ms,294 Mbps,37683 kB/s
47.89.151.17,443,47.89.151.17,US,Ashburn,中转,96 ms,57 Mbps,7417 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,80 ms,51 Mbps,6622 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:11a,US,Los Angeles,隧道,67 ms,84 Mbps,10752 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,79 ms,252 Mbps,32256 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,229 Mbps,29388 kB/s
