中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac5:80c9:7cd::c7:14,US,Buffalo,隧道,64 ms,82 Mbps,10547 kB/s
146.235.207.245,443,146.235.207.245,US,San Jose,中转,16 ms,84 Mbps,10752 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,26 ms,340 Mbps,43622 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,25 ms,72 Mbps,9326 kB/s
35.230.79.26,443,104.198.101.62,US,Seattle,隧道,82 ms,522 Mbps,66867 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,13 ms,46 Mbps,5893 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,69 ms,82 Mbps,10547 kB/s
35.197.23.75,443,104.198.101.62,US,Seattle,隧道,61 ms,566 Mbps,72499 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,19 ms,702 Mbps,89907 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,17 ms,468 Mbps,59904 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,117 ms,161 Mbps,20684 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,47 ms,1080 Mbps,138240 kB/s
146.235.218.129,443,146.235.218.129,US,San Jose,中转,60 ms,376 Mbps,48230 kB/s
52.192.70.199,443,52.192.70.199,JP,Tokyo,中转,107 ms,5 Mbps,696 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,19 ms,1136 Mbps,145408 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,56 ms,373 Mbps,47820 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,36 ms,357 Mbps,45772 kB/s
192.9.231.75,443,192.9.231.75,US,San Jose,中转,160 ms,427 Mbps,54681 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,205 ms,1040 Mbps,133120 kB/s
172.247.67.174,443,172.247.67.170,US,Los Angeles,隧道,9 ms,126 Mbps,16179 kB/s
198.23.196.40,443,198.23.196.40,US,Buffalo,中转,87 ms,350 Mbps,44851 kB/s
45.154.15.101,443,45.154.15.101,CN,Seoul,中转,145 ms,7 Mbps,926 kB/s
35.194.218.159,443,35.194.218.159,TW,Hong Kong,中转,154 ms,113 Mbps,14540 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,81 ms,308 Mbps,39526 kB/s
52.192.85.41,443,52.192.85.41,JP,Tokyo,中转,107 ms,154 Mbps,19763 kB/s
158.180.95.52,443,158.180.95.52,KR,Seoul,中转,137 ms,88 Mbps,11366 kB/s
140.238.145.194,443,140.238.145.194,CA,Toronto,中转,68 ms,280 Mbps,35840 kB/s
138.2.6.56,443,138.2.6.56,JP,Tokyo,中转,117 ms,42 Mbps,5490 kB/s
146.56.143.43,443,146.56.143.43,KR,Tokyo,中转,135 ms,108 Mbps,13824 kB/s
43.131.49.250,443,43.131.49.250,DE,Amsterdam,中转,141 ms,113 Mbps,14540 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,157 ms,102 Mbps,13107 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,158 ms,112 Mbps,14336 kB/s
144.24.79.237,443,144.24.79.237,KR,Seoul,中转,137 ms,111 Mbps,14233 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,205 Mbps,26316 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,56 ms,386 Mbps,49459 kB/s
18.158.133.134,443,18.158.133.134,DE,Frankfurt,中转,144 ms,138 Mbps,17715 kB/s
158.180.91.128,443,158.180.91.128,KR,Seoul,中转,137 ms,120 Mbps,15360 kB/s
34.154.129.158,443,163.123.193.6,DE,Frankfurt,隧道,156 ms,117 Mbps,15052 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,165 ms,77 Mbps,9887 kB/s
152.69.228.108,443,152.69.228.108,KR,Seoul,中转,139 ms,90 Mbps,11571 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,144 ms,131 Mbps,16793 kB/s
