中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.196.40,443,198.23.196.40,US,Buffalo,中转,19 ms,579 Mbps,74137 kB/s
23.95.166.181,443,23.95.166.181,US,Buffalo,中转,22 ms,660 Mbps,84582 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,47 Mbps,6129 kB/s
140.238.145.194,443,140.238.145.194,CA,Toronto,中转,18 ms,415 Mbps,53145 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,336 Mbps,43110 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,88 ms,251 Mbps,32153 kB/s
35.197.23.75,443,34.83.221.146,US,Seattle,隧道,70 ms,332 Mbps,42598 kB/s
89.168.82.236,443,89.168.82.236,DE,Frankfurt,中转,89 ms,235 Mbps,30105 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,76 ms,12 Mbps,1567 kB/s
107.172.218.159,443,104.28.217.42,US,San Jose,隧道,70 ms,251 Mbps,32153 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,37 ms,748 Mbps,95744 kB/s
107.174.88.162,443,107.174.88.162,US,San Jose,中转,70 ms,277 Mbps,35532 kB/s
146.235.218.129,443,146.235.218.129,US,San Jose,中转,73 ms,229 Mbps,29388 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,22 ms,808 Mbps,103424 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,259 Mbps,33177 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,71 ms,214 Mbps,27443 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,164 ms,1368 Mbps,175104 kB/s
34.154.80.162,443,2606:f240:f00:6f50:0:a9b2:3d35:4193,US,Frankfurt,隧道,101 ms,193 Mbps,24780 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,218 Mbps,27955 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,216 Mbps,27648 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,89 ms,58 Mbps,7497 kB/s
192.210.175.20,443,192.210.175.20,US,Amsterdam,中转,88 ms,51 Mbps,6595 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,75 ms,292 Mbps,37376 kB/s
192.3.253.176,443,192.3.253.176,CA,Seattle,中转,72 ms,221 Mbps,28364 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,107 ms,260 Mbps,33382 kB/s
198.23.254.51,443,198.23.254.51,CA,San Jose,中转,109 ms,252 Mbps,32358 kB/s
3.121.174.160,443,2a05:d014:a:b00:60eb:9e80:2b70:dac5,DE,Frankfurt,隧道,94 ms,126 Mbps,16179 kB/s
35.230.79.26,443,34.83.221.146,US,Seattle,隧道,98 ms,324 Mbps,41574 kB/s
107.172.98.6,443,2a09:bac1:76a0:450::1d3:88,US,San Jose,隧道,70 ms,229 Mbps,29388 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,340 Mbps,43622 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,97 ms,308 Mbps,39424 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,221 ms,49 Mbps,6349 kB/s
172.247.67.174,443,172.247.67.170,US,Los Angeles,隧道,100 ms,96 Mbps,12390 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,105 Mbps,13516 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,163 ms,99 Mbps,12697 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,91 ms,278 Mbps,35635 kB/s
