中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,23 ms,960 Mbps,122880 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,376 Mbps,48230 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,4 ms,904 Mbps,115712 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,398 Mbps,50995 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,40 ms,928 Mbps,118784 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,69 ms,43 Mbps,5540 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,15 ms,1456 Mbps,186368 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,7 ms,426 Mbps,54579 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,28 ms,644 Mbps,82432 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,21 ms,53 Mbps,6887 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,53 ms,936 Mbps,119808 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,19 ms,888 Mbps,113664 kB/s
192.9.146.103,443,192.9.146.103,US,Seattle,中转,30 ms,1376 Mbps,176128 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,48 ms,290 Mbps,37171 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,77 ms,52 Mbps,6673 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,29 ms,673 Mbps,86220 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,150 ms,108 Mbps,13824 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,145 ms,143 Mbps,18329 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,108 Mbps,13824 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,126 ms,189 Mbps,24268 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:107,KR,Seoul,隧道,140 ms,150 Mbps,19251 kB/s
47.90.141.204,443,91.149.239.70,US,San Jose,隧道,87 ms,18 Mbps,2306 kB/s
129.146.209.97,443,129.146.209.97,US,Dallas,中转,46 ms,364 Mbps,46694 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,186 ms,147 Mbps,18841 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,82 ms,320 Mbps,41062 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,167 ms,113 Mbps,14540 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,167 ms,40 Mbps,5191 kB/s
