中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,17 ms,448 Mbps,57446 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,26 ms,342 Mbps,43827 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,904 Mbps,115712 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,33 ms,440 Mbps,56422 kB/s
107.174.88.162,443,107.174.88.162,US,San Jose,中转,80 ms,733 Mbps,93900 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,88 ms,1128 Mbps,144384 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,121 ms,640 Mbps,81920 kB/s
35.197.23.75,443,34.105.119.202,US,Seattle,隧道,36 ms,564 Mbps,72294 kB/s
198.23.196.40,443,198.23.196.40,US,Newark,中转,96 ms,264 Mbps,33894 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,21 ms,1096 Mbps,140288 kB/s
35.230.79.26,443,34.105.119.202,US,Seattle,隧道,89 ms,553 Mbps,70860 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,10 ms,46 Mbps,5911 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,45 ms,992 Mbps,126976 kB/s
107.172.98.6,443,2a09:bac1:76a0:28::1d2:38,US,San Jose,隧道,27 ms,212 Mbps,27136 kB/s
23.94.182.23,443,23.94.182.23,US,Newark,中转,75 ms,84 Mbps,10752 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,87 ms,641 Mbps,82124 kB/s
138.3.222.135,443,138.3.222.135,JP,Hong Kong,中转,111 ms,44 Mbps,5709 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,115 ms,196 Mbps,25190 kB/s
198.12.97.48,443,198.12.97.48,US,Chicago,中转,71 ms,405 Mbps,51916 kB/s
34.82.76.253,443,34.105.57.113,US,Seattle,隧道,46 ms,562 Mbps,71987 kB/s
107.174.192.7,443,107.174.192.7,US,San Jose,中转,41 ms,678 Mbps,86835 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,37 ms,496 Mbps,63488 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,139 ms,101 Mbps,13004 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,124 Mbps,15974 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,110 ms,190 Mbps,24371 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,532 Mbps,68096 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,144 ms,126 Mbps,16179 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,372 Mbps,47616 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,73 ms,295 Mbps,37785 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,139 ms,46 Mbps,5961 kB/s
34.65.217.176,443,98.98.156.22,US,Frankfurt,隧道,149 ms,108 Mbps,13824 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,143 ms,55 Mbps,7160 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,68 ms,26 Mbps,3340 kB/s
150.230.63.93,443,150.230.63.93,JP,Hong Kong,中转,173 ms,41 Mbps,5273 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,84 ms,145 Mbps,18636 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,149 ms,120 Mbps,15462 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,147 ms,96 Mbps,12390 kB/s
13.250.22.76,443,2406:da18:618:7e00:ce20:ada8:8c3b:960a,SG,Singapore,隧道,176 ms,2 Mbps,380 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,159 ms,116 Mbps,14950 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,164 ms,3 Mbps,450 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,246 ms,57 Mbps,7359 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,177 ms,2 Mbps,360 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,254 ms,46 Mbps,5903 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,147 ms,39 Mbps,5031 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,245 ms,47 Mbps,6048 kB/s
140.238.49.199,443,140.238.49.199,JP,Los Angeles,中转,117 ms,169 Mbps,21708 kB/s
13.127.95.206,443,13.127.95.206,IN,Mumbai,中转,236 ms,52 Mbps,6684 kB/s
8.219.66.156,443,8.219.66.156,SG,Singapore,中转,249 ms,52 Mbps,6776 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,250 ms,48 Mbps,6232 kB/s
129.154.50.220,443,129.154.50.220,KR,Singapore,中转,135 ms,125 Mbps,16076 kB/s
8.219.3.53,443,8.219.3.53,SG,Singapore,中转,245 ms,53 Mbps,6876 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,34 ms,562 Mbps,71987 kB/s
146.56.161.229,443,146.56.161.229,KR,Singapore,中转,130 ms,124 Mbps,15872 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,35 ms,227 Mbps,29081 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,157 ms,0 Mbps,52 kB/s
204.110.220.3,443,204.110.220.250,US,,隧道,36 ms,503 Mbps,64409 kB/s
