中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,37 ms,348 Mbps,44646 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1112 Mbps,142336 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,21 ms,992 Mbps,126976 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,24 ms,928 Mbps,118784 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,5 Mbps,702 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,11 ms,749 Mbps,95948 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,21 ms,992 Mbps,126976 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,659 Mbps,84377 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,29 ms,464 Mbps,59494 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,64 ms,370 Mbps,47411 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,116 ms,41 Mbps,5310 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,113 ms,43 Mbps,5589 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,194 Mbps,24883 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,128 ms,43 Mbps,5535 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,132 Mbps,16998 kB/s
152.70.56.11,443,163.123.193.3,DE,Frankfurt,隧道,177 ms,110 Mbps,14131 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,154 ms,112 Mbps,14438 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,141 ms,41 Mbps,5288 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,155 ms,35 Mbps,4573 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,142 Mbps,18227 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,173 ms,47 Mbps,6019 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,135 ms,148 Mbps,18944 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,138 ms,45 Mbps,5875 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,178 ms,42 Mbps,5493 kB/s
