中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.236.101,443,198.23.236.101,US,San Jose,中转,66 ms,288 Mbps,36966 kB/s
198.23.196.40,443,198.23.196.40,US,Buffalo,中转,21 ms,620 Mbps,79360 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,59 ms,238 Mbps,30515 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,312 Mbps,39936 kB/s
35.197.23.75,443,34.168.30.104,US,Seattle,隧道,70 ms,343 Mbps,43929 kB/s
140.238.145.194,443,140.238.145.194,CA,Toronto,中转,41 ms,404 Mbps,51712 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,294 Mbps,37683 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,29 ms,172 Mbps,22016 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,34 ms,796 Mbps,101990 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,43 ms,1576 Mbps,201728 kB/s
35.230.79.26,443,34.168.30.104,US,Seattle,隧道,80 ms,318 Mbps,40755 kB/s
23.95.166.181,443,23.95.166.181,US,Buffalo,中转,43 ms,627 Mbps,80281 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,93 ms,232 Mbps,29798 kB/s
192.210.175.20,443,192.210.175.20,US,Amsterdam,中转,91 ms,52 Mbps,6732 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,7 ms,44 Mbps,5673 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,65 ms,310 Mbps,39731 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,64 ms,303 Mbps,38809 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,335 Mbps,42905 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,27 ms,646 Mbps,82739 kB/s
192.9.231.75,443,192.9.231.75,US,San Jose,中转,73 ms,52 Mbps,6669 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,360 Mbps,46080 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,90 ms,218 Mbps,27955 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,91 ms,47 Mbps,6117 kB/s
198.12.97.48,443,198.12.97.48,US,Chicago,中转,97 ms,576 Mbps,73728 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,99 ms,428 Mbps,54886 kB/s
146.235.218.129,443,146.235.218.129,US,San Jose,中转,93 ms,65 Mbps,8413 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,208 Mbps,26624 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,69 ms,284 Mbps,36352 kB/s
34.82.76.253,443,34.105.57.113,US,Seattle,隧道,69 ms,305 Mbps,39116 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,154 ms,149 Mbps,19148 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,201 Mbps,25804 kB/s
107.172.98.6,443,2a09:bac5:cad5:28::4:25c,US,San Jose,隧道,72 ms,191 Mbps,24473 kB/s
198.23.254.51,443,198.23.254.51,CA,San Jose,中转,73 ms,232 Mbps,29696 kB/s
107.174.192.7,443,107.174.192.7,US,San Jose,中转,69 ms,294 Mbps,37683 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,87 ms,49 Mbps,6342 kB/s
13.38.56.6,443,13.38.56.6,FR,Paris,中转,85 ms,264 Mbps,33894 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,231 Mbps,29593 kB/s
52.192.70.199,443,52.192.70.199,JP,Tokyo,中转,154 ms,3 Mbps,511 kB/s
23.94.43.51,443,23.94.43.51,CA,Seattle,中转,129 ms,296 Mbps,37888 kB/s
54.78.221.80,443,54.78.221.80,IE,Dublin,中转,70 ms,316 Mbps,40550 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,169 ms,41 Mbps,5267 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,249 ms,54 Mbps,6949 kB/s
54.92.11.19,443,2406:da14:6a2:2e00:8ef4:430d:7f05:cc20,JP,Tokyo,隧道,159 ms,3 Mbps,453 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,154 ms,113 Mbps,14540 kB/s
8.219.52.156,443,8.219.52.156,SG,Singapore,中转,249 ms,23 Mbps,3021 kB/s
45.154.15.101,443,45.154.15.101,CN,Hong Kong,中转,182 ms,13 Mbps,1768 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,226 ms,2 Mbps,286 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,250 ms,51 Mbps,6598 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,251 ms,66 Mbps,8523 kB/s
13.127.95.206,443,13.127.95.206,IN,Mumbai,中转,209 ms,85 Mbps,10956 kB/s
8.219.179.34,443,8.219.179.34,SG,Singapore,中转,252 ms,68 Mbps,8771 kB/s
47.236.112.218,443,47.236.112.218,SG,Singapore,中转,250 ms,29 Mbps,3715 kB/s
8.219.228.186,443,8.219.228.186,SG,Singapore,中转,249 ms,54 Mbps,6990 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,250 ms,55 Mbps,7112 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,200 ms,96 Mbps,12288 kB/s
8.219.103.126,443,8.219.103.126,SG,Singapore,中转,250 ms,54 Mbps,7005 kB/s
140.238.49.199,443,140.238.49.199,JP,Tokyo,中转,169 ms,100 Mbps,12800 kB/s
8.222.205.210,443,8.222.205.210,SG,Singapore,中转,250 ms,38 Mbps,4865 kB/s
13.250.22.76,443,2406:da18:618:7e00:ce20:ada8:8c3b:960a,SG,Singapore,隧道,222 ms,2 Mbps,300 kB/s
8.219.170.180,443,8.219.170.180,SG,Singapore,中转,249 ms,51 Mbps,6630 kB/s
47.236.121.7,443,47.236.121.7,SG,Singapore,中转,249 ms,51 Mbps,6554 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,256 ms,50 Mbps,6494 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,250 ms,47 Mbps,6068 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,252 ms,55 Mbps,7123 kB/s
