中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,98 ms,336 Mbps,43110 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,66 ms,47 Mbps,6112 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,220 Mbps,28262 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,47 ms,452 Mbps,57856 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,12 ms,418 Mbps,53555 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,69 ms,373 Mbps,47820 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,103 ms,265 Mbps,33996 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,103 ms,44 Mbps,5663 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,67 ms,547 Mbps,70041 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,38 ms,513 Mbps,65740 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26b:1e,US,Los Angeles,隧道,97 ms,38 Mbps,4914 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,97 ms,0 Mbps,27 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,93 ms,43 Mbps,5550 kB/s
130.61.23.77,443,130.61.23.77,DE,194 Mbps,24883 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,77 ms,251 Mbps,32153 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,93 ms,344 Mbps,44134 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,103 ms,38 Mbps,4927 kB/s
150.230.120.183,443,2a0b:21c0:100a:1b7:0:a473:18b6:6de4,DE,Frankfurt,隧道,114 ms,124 Mbps,15974 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,125 ms,246 Mbps,31539 kB/s
193.123.39.210,443,2a0b:21c0:100a:1b6:0:21cb:8675:b4af,DE,Frankfurt,隧道,118 ms,131 Mbps,16793 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,120 ms,203 Mbps,26009 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,72 ms,269 Mbps,34508 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,68 ms,344 Mbps,44032 kB/s
152.70.112.158,443,152.70.112.158,US,San Jose,中转,88 ms,44 Mbps,5660 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,103 ms,263 Mbps,33689 kB/s
129.146.134.77,443,2a09:bac5:60eb:1846::26b:79,US,Los Angeles,隧道,98 ms,4 Mbps,556 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,144 ms,43 Mbps,5559 kB/s
129.153.126.67,443,2a09:bac5:60ea:78::c:38b,US,Los Angeles,隧道,74 ms,40 Mbps,5232 kB/s
143.47.236.132,443,163.123.193.8,DE,Frankfurt,隧道,120 ms,264 Mbps,33894 kB/s
192.9.138.241,443,192.9.138.241,297 Mbps,38092 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,91 ms,39 Mbps,5017 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,81 ms,384 Mbps,49254 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,75 ms,67 Mbps,8640 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d3:56,US,San Jose,隧道,98 ms,80 Mbps,10240 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,104 ms,428 Mbps,54784 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,218 Mbps,27955 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,80 ms,355 Mbps,45465 kB/s
134.65.59.100,443,134.65.59.100,GB,London,中转,95 ms,40 Mbps,5178 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,207 Mbps,26521 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,20 Mbps,2675 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,115 ms,33 Mbps,4335 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,145 ms,80 Mbps,10342 kB/s
152.67.44.30,443,152.67.44.30,BR,S
