中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,13 ms,492 Mbps,62976 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,395 Mbps,50585 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,97 ms,45 Mbps,5884 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,25 ms,666 Mbps,85299 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,264 Mbps,33894 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,99 ms,208 Mbps,26624 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,35 ms,55 Mbps,7111 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,89 ms,359 Mbps,45977 kB/s
141.147.69.55,443,2a0b:21c0:1007:c9:0:f0da:9aa8:2c6f,DE,Frankfurt,隧道,109 ms,205 Mbps,26316 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,101 ms,385 Mbps,49356 kB/s
129.146.46.164,443,129.146.46.164,300 Mbps,38502 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,84 ms,384 Mbps,49254 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,46 ms,627 Mbps,80281 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,83 ms,377 Mbps,48332 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,53 ms,568 Mbps,72806 kB/s
158.101.210.88,443,209.177.81.218,DE,Frankfurt,隧道,117 ms,220 Mbps,28262 kB/s
141.148.226.100,443,2a0b:21c0:100a:1fa:0:773e:25f1:7990,DE,Frankfurt,隧道,101 ms,206 Mbps,26419 kB/s
132.145.246.210,443,2606:f240:f00:a683:0:be05:b044:5e66,US,Frankfurt,隧道,89 ms,245 Mbps,31436 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,86 ms,41 Mbps,5317 kB/s
168.138.90.241,443,168.138.90.241,CA,Montréal,中转,69 ms,58 Mbps,7527 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,265 Mbps,33996 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,115 Mbps,14745 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,85 ms,43 Mbps,5586 kB/s
144.24.53.45,443,144.24.53.45,US,Los Angeles,中转,97 ms,33 Mbps,4343 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,82 ms,352 Mbps,45158 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,252 Mbps,32358 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,78 ms,0 Mbps,34 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,88 ms,51 Mbps,6548 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,203 ms,109 Mbps,14028 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,81 ms,345 Mbps,44236 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,105 ms,285 Mbps,36556 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,124 ms,104 Mbps,13312 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,13 ms,64 Mbps,8256 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,120 ms,224 Mbps,28774 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,24 ms,63 Mbps,8191 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,285 Mbps,36556 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,232 ms,3 Mbps,487 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,229 Mbps,29388 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,208 ms,105 Mbps,13516 kB/s
129.151.148.35,443,129.151.148.35,AE,Hong Kong,中转,218 ms,32 Mbps,4209 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,102 ms,45 Mbps,5884 kB/s
47.254.17.234,443,47.254.17.234,US,San Jose,中转,107 ms,41 Mbps,5263 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,103 ms,335 Mbps,42905 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,79 ms,3 Mbps,432 kB/s
141.148.243.175,443,98.98.166.198,US,Frankfurt,隧道,156 ms,239 Mbps,30617 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,260 ms,2 Mbps,314 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,250 Mbps,32051 kB/s
8.222.69.185,443,8.216.92.214,JP,Tokyo,隧道,266 ms,14 Mbps,1897 kB/s
8.218.183.231,443,8.218.183.231,HK,Hong Kong,中转,245 ms,10 Mbps,1353 kB/s
130.162.190.168,443,2606:f240:f00:5a42:0:3d6:4e77:c000,US,Frankfurt,隧道,106 ms,143 Mbps,18329 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,136 ms,26 Mbps,3445 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,95 ms,44 Mbps,5701 kB/s
130.162.42.91,443,2a0b:21c0:1007:1cb:0:41b8:2ff7:7615,DE,Frankfurt,隧道,124 ms,230 Mbps,29491 kB/s
141.148.229.232,443,2a0b:21c0:1007:1c9:0:573e:e79a:f3a8,DE,Frankfurt,隧道,132 ms,134 Mbps,17203 kB/s
8.219.86.91,443,47.245.84.175,SG,Singapore,隧道,246 ms,0 Mbps,21 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,132 ms,40 Mbps,5133 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,236 ms,80 Mbps,10342 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,224 ms,85 Mbps,10956 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,256 ms,77 Mbps,9932 kB/s
8.218.202.1,443,240b:4001:278:8402:ffff:4062:176f:75ab,HK,Hong Kong,隧道,249 ms,88 Mbps,11264 kB/s
168.138.149.17,443,168.138.149.17,BR,S
