中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.158.188,443,104.28.201.73,US,San Jose,隧道,73 ms,159 Mbps,20377 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,64 ms,207 Mbps,26521 kB/s
129.146.7.98,443,2a09:bac5:60ea:1846::26b:8a,US,Los Angeles,隧道,57 ms,61 Mbps,7889 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,208 Mbps,26726 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,99 ms,39 Mbps,5072 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,552 Mbps,70656 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,280 Mbps,35840 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,312 Mbps,40038 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,34 ms,545 Mbps,69836 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,64 ms,327 Mbps,41881 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,214 Mbps,27443 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,98 ms,105 Mbps,13516 kB/s
132.226.31.178,443,2a09:bac5:60eb:183c::26a:56,US,Los Angeles,隧道,57 ms,45 Mbps,5789 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,60 ms,115 Mbps,14745 kB/s
130.61.170.78,443,130.61.170.78,DE,Düsseldorf,中转,91 ms,107 Mbps,13721 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,204 Mbps,26112 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,76 ms,319 Mbps,40857 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,66 ms,258 Mbps,33075 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,157 ms,71 Mbps,9166 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,83 ms,274 Mbps,35123 kB/s
193.123.34.7,443,2a0b:21c0:100a:1b1:0:abaa:bade:c84d,DE,Frankfurt,隧道,90 ms,132 Mbps,16998 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,89 ms,260 Mbps,33382 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,240 Mbps,30822 kB/s
150.230.119.33,443,2a0b:21c0:1007:c7:0:fc20:e32a:54d7,DE,Frankfurt,隧道,97 ms,218 Mbps,27955 kB/s
140.238.88.47,443,140.238.88.47,GB,London,中转,137 ms,261 Mbps,33484 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,49 Mbps,6312 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,81 ms,52 Mbps,6682 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,88 ms,222 Mbps,28467 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,77 ms,135 Mbps,17305 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,74 ms,280 Mbps,35840 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,147 ms,41 Mbps,5279 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,74 ms,267 Mbps,34201 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,309 Mbps,39628 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,73 ms,40 Mbps,5155 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,51 ms,612 Mbps,78438 kB/s
130.162.250.180,443,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,91 ms,89 Mbps,11468 kB/s
129.151.244.9,443,129.151.244.9,FR,Marseille,中转,199 ms,60 Mbps,7748 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,45 Mbps,5864 kB/s
141.147.95.90,443,98.98.166.194,AE,Frankfurt,隧道,245 ms,141 Mbps,18124 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,132 ms,249 Mbps,31948 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,209 Mbps,26828 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,87 ms,222 Mbps,28467 kB/s
138.2.157.91,443,2a0b:21c0:1007:cb:0:4006:7a29:8c0f,DE,Frankfurt,隧道,137 ms,119 Mbps,15257 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,112 ms,1 Mbps,153 kB/s
47.89.182.61,443,47.251.149.55,US,San Jose,隧道,68 ms,2 Mbps,377 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,262 ms,99 Mbps,12697 kB/s
152.67.44.30,443,152.67.44.30,BR,S
