中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,300 Mbps,38502 kB/s
198.23.196.40,443,198.23.196.40,US,Buffalo,中转,24 ms,608 Mbps,77824 kB/s
192.210.175.20,443,192.210.175.20,US,Amsterdam,中转,99 ms,56 Mbps,7217 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,51 ms,369 Mbps,47308 kB/s
140.238.145.194,443,140.238.145.194,CA,Toronto,中转,15 ms,310 Mbps,39731 kB/s
146.235.207.245,443,146.235.207.245,US,San Jose,中转,54 ms,52 Mbps,6686 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,54 ms,253 Mbps,32460 kB/s
35.197.23.75,443,104.198.101.62,US,Seattle,隧道,51 ms,437 Mbps,56012 kB/s
107.174.88.162,443,107.174.88.162,US,San Jose,中转,51 ms,360 Mbps,46182 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,51 ms,864 Mbps,110592 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,44 ms,209 Mbps,26828 kB/s
172.247.67.174,443,172.247.67.170,US,Los Angeles,隧道,51 ms,92 Mbps,11878 kB/s
15.236.230.106,443,2a05:d012:e54:f800:1df4:3aa3:68a8:e442,FR,Paris,隧道,107 ms,197 Mbps,25292 kB/s
34.154.112.105,443,2606:f240:f00:5a42:0:a52f:9503:b3b3,US,Frankfurt,隧道,112 ms,143 Mbps,18329 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,51 ms,414 Mbps,53043 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,54 ms,461 Mbps,59084 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,55 ms,420 Mbps,53760 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,21 ms,848 Mbps,108544 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,377 Mbps,48332 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,172 ms,416 Mbps,53350 kB/s
18.158.133.134,443,18.158.133.134,DE,Frankfurt,中转,106 ms,199 Mbps,25497 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,65 ms,46 Mbps,5999 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,32 ms,797 Mbps,102092 kB/s
35.230.79.26,443,104.198.101.62,US,Seattle,隧道,52 ms,448 Mbps,57344 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,60 ms,49 Mbps,6323 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,105 ms,178 Mbps,22835 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,187 Mbps,23961 kB/s
