中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.122.101.195,443,193.122.101.195,KR,Hong Kong,中转,136 ms,124 Mbps,15872 kB/s
43.156.181.203,443,101.32.239.42,SG,,隧道,169 ms,103 Mbps,13209 kB/s
43.132.205.28,443,43.132.205.28,HK,Hong Kong,中转,169 ms,28 Mbps,3631 kB/s
146.70.169.118,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,96 Mbps,12390 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,256 ms,53 Mbps,6898 kB/s
146.70.175.108,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,96 Mbps,12390 kB/s
146.70.175.116,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,97 Mbps,12492 kB/s
23.90.144.170,443,23.90.151.62,DE,Frankfurt,隧道,150 ms,92 Mbps,11878 kB/s
172.93.47.209,443,172.93.47.209,US,Los Angeles,中转,20 ms,816 Mbps,104448 kB/s
8.218.85.128,443,8.218.85.128,HK,Hong Kong,中转,158 ms,84 Mbps,10752 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,221 ms,48 Mbps,6263 kB/s
8.218.18.132,443,8.218.18.132,HK,Hong Kong,中转,152 ms,88 Mbps,11264 kB/s
47.76.49.246,443,47.76.49.246,HK,Hong Kong,中转,157 ms,80 Mbps,10342 kB/s
146.70.175.175,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,116 Mbps,14848 kB/s
47.76.32.108,443,47.76.32.108,HK,Hong Kong,中转,158 ms,100 Mbps,12800 kB/s
146.70.175.187,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,150 ms,113 Mbps,14540 kB/s
146.70.175.169,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,159 ms,111 Mbps,14233 kB/s
146.70.175.98,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,110 Mbps,14131 kB/s
8.219.175.127,443,8.219.175.127,SG,Singapore,中转,253 ms,53 Mbps,6848 kB/s
146.70.175.190,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,153 ms,108 Mbps,13926 kB/s
146.70.175.114,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,108 Mbps,13926 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,74 ms,245 Mbps,31436 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,249 ms,48 Mbps,6231 kB/s
23.90.144.167,443,23.90.151.62,DE,Frankfurt,隧道,150 ms,104 Mbps,13312 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,254 ms,48 Mbps,6261 kB/s
192.9.137.105,443,2a09:bac1:76a0:1cf0::1d2:6a,US,San Jose,隧道,89 ms,639 Mbps,81817 kB/s
146.70.175.177,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,113 Mbps,14540 kB/s
146.70.175.164,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,151 ms,110 Mbps,14131 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,92 ms,346 Mbps,44339 kB/s
129.80.16.248,443,129.80.16.248,US,Ashburn,中转,69 ms,50 Mbps,6472 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,148 ms,100 Mbps,12902 kB/s
