中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,52 ms,406 Mbps,52019 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,272 Mbps,34918 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,17 ms,1152 Mbps,147456 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,444 Mbps,56934 kB/s
35.230.79.26,443,35.197.107.113,US,Seattle,隧道,63 ms,448 Mbps,57344 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,52 ms,241 Mbps,30924 kB/s
192.18.150.121,443,2a09:bac1:1480:248::312:77,CA,Toronto,隧道,77 ms,428 Mbps,54784 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,405 Mbps,51916 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,128 ms,41 Mbps,5328 kB/s
198.46.188.190,443,2a09:bac5:a5fa:7cd::c7:19,US,Buffalo,隧道,57 ms,98 Mbps,12595 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,32 ms,595 Mbps,76185 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,34 ms,577 Mbps,73932 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,42 Mbps,5434 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,180 Mbps,23040 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,73 ms,431 Mbps,55193 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,76 ms,40 Mbps,5156 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,105 ms,172 Mbps,22118 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,58 ms,46 Mbps,6002 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,81 ms,41 Mbps,5289 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,330 Mbps,42291 kB/s
34.65.217.176,443,2a0b:21c0:100a:1b0:0:1983:c84e:927d,DE,Frankfurt,隧道,113 ms,95 Mbps,12185 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,188 Mbps,24166 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,377 Mbps,48332 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,90 ms,296 Mbps,37888 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,76 Mbps,9809 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,424 Mbps,54374 kB/s
35.197.23.75,443,35.197.107.113,US,Seattle,隧道,51 ms,448 Mbps,57344 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,111 ms,49 Mbps,6280 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,24 ms,410 Mbps,52531 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,54 ms,339 Mbps,43417 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,53 ms,46 Mbps,5964 kB/s
34.118.80.175,443,2a0b:21c0:100a:1b2:0:b2e3:ccb5:ce23,DE,Frankfurt,隧道,162 ms,101 Mbps,13004 kB/s
13.57.182.91,443,2a09:bac1:76a0:1cf0::4:265,US,San Jose,隧道,221 ms,285 Mbps,36556 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,184 Mbps,23552 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,54 ms,179 Mbps,22937 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,116 Mbps,14848 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,145 ms,42 Mbps,5410 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,26 ms,686 Mbps,87859 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,191 Mbps,24473 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,251 ms,48 Mbps,6195 kB/s
47.245.115.6,443,47.245.115.6,SG,Singapore,中转,265 ms,49 Mbps,6300 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,185 ms,91 Mbps,11673 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,253 ms,55 Mbps,7101 kB/s
8.219.170.180,443,8.219.170.180,SG,Singapore,中转,250 ms,48 Mbps,6222 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,251 ms,48 Mbps,6200 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,170 ms,84 Mbps,10752 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,275 ms,33 Mbps,4335 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,202 ms,32 Mbps,4150 kB/s
144.21.62.74,443,2a0b:21c0:100a:1b0:0:5a96:ea63:76e5,DE,Frankfurt,隧道,107 ms,112 Mbps,14336 kB/s
8.219.179.34,443,8.219.179.34,SG,Singapore,中转,253 ms,62 Mbps,7995 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,70 ms,367 Mbps,47001 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,172 ms,96 Mbps,12288 kB/s
8.222.225.193,443,8.222.225.193,SG,Singapore,中转,250 ms,3 Mbps,452 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,253 ms,55 Mbps,7100 kB/s
47.236.87.206,443,47.236.87.206,SG,Singapore,中转,252 ms,51 Mbps,6649 kB/s
8.219.103.126,443,8.219.103.126,SG,Singapore,中转,251 ms,51 Mbps,6540 kB/s
8.222.205.210,443,8.222.205.210,SG,Singapore,中转,252 ms,50 Mbps,6525 kB/s
