中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,52 ms,367 Mbps,47001 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,23 ms,738 Mbps,94515 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,48 ms,374 Mbps,47923 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,21 ms,1184 Mbps,151552 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,80 ms,447 Mbps,57241 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,750 Mbps,96051 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,26 ms,94 Mbps,12083 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,406 Mbps,52019 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,27 ms,490 Mbps,62771 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,69 ms,450 Mbps,57651 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,47 Mbps,6023 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,47 ms,54 Mbps,7016 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,66 ms,373 Mbps,47820 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,55 ms,456 Mbps,58470 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,51 ms,560 Mbps,71782 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,117 ms,217 Mbps,27852 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,85 ms,451 Mbps,57753 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,212 Mbps,27136 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,122 ms,48 Mbps,6271 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,54 ms,509 Mbps,65228 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,136 ms,46 Mbps,5919 kB/s
143.47.176.251,443,2a0b:21c0:1007:cb:0:c9a9:7920:454e,DE,Frankfurt,隧道,112 ms,216 Mbps,27648 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,118 ms,258 Mbps,33075 kB/s
143.47.182.90,443,2a0b:21c0:1007:ca:0:1c8a:dab5:622a,DE,Frankfurt,隧道,108 ms,182 Mbps,23347 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,133 ms,237 Mbps,30412 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,120 ms,44 Mbps,5716 kB/s
131.186.61.103,443,2607:a400:a:6b:0:7fd8:b429:5ef1,US,Los Angeles,隧道,157 ms,129 Mbps,16588 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,192 Mbps,24678 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,119 ms,42 Mbps,5431 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,41 Mbps,5370 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,154 ms,155 Mbps,19865 kB/s
