中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,896 Mbps,114688 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,29 ms,659 Mbps,84377 kB/s
129.146.7.98,443,2a09:bac5:60ec:183c::26a:8d,US,Los Angeles,隧道,52 ms,70 Mbps,9084 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,63 ms,46 Mbps,6008 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,53 ms,394 Mbps,50483 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,42 ms,699 Mbps,89497 kB/s
193.122.197.111,443,193.122.197.111,358 Mbps,45875 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,52 ms,136 Mbps,17510 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,54 ms,407 Mbps,52121 kB/s
198.46.188.190,443,2a09:bac5:a5fa:7cd::c7:12,US,Buffalo,隧道,59 ms,83 Mbps,10649 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,254 Mbps,32563 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,28 ms,373 Mbps,47820 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,50 ms,280 Mbps,35840 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,397 Mbps,50892 kB/s
35.197.23.75,443,34.82.144.89,US,Seattle,隧道,47 ms,469 Mbps,60108 kB/s
34.82.76.253,443,34.168.34.122,US,Seattle,隧道,53 ms,431 Mbps,55193 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,396 Mbps,50688 kB/s
23.224.22.211,443,23.224.22.211,CN,Los Angeles,中转,72 ms,46 Mbps,5908 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,45 Mbps,5829 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,101 ms,7 Mbps,910 kB/s
