中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,35 ms,518 Mbps,66355 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,72 ms,279 Mbps,35737 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,69 ms,257 Mbps,32972 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,64 ms,88 Mbps,11264 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,12 ms,45 Mbps,5814 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,112 ms,350 Mbps,44851 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,136 ms,39 Mbps,5108 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,341 Mbps,43724 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,96 ms,7 Mbps,904 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,207 Mbps,26521 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,29 ms,396 Mbps,50790 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,251 Mbps,32153 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,353 Mbps,45260 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,236 Mbps,30208 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,74 ms,295 Mbps,37785 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,90 ms,31 Mbps,3983 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,29 ms,582 Mbps,74547 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,87 ms,239 Mbps,30617 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,109 ms,208 Mbps,26624 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,130 Mbps,16691 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,72 ms,263 Mbps,33689 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,136 ms,49 Mbps,6340 kB/s
192.9.138.241,443,192.9.138.241,276 Mbps,35430 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,216 Mbps,27750 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,66 ms,325 Mbps,41676 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,96 ms,44 Mbps,5664 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,91 ms,46 Mbps,5966 kB/s
130.61.222.184,443,130.61.222.184,DE,Frankfurt,中转,91 ms,207 Mbps,26521 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26a:60,US,Los Angeles,隧道,65 ms,51 Mbps,6632 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,49 ms,422 Mbps,54067 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,206 ms,34 Mbps,4425 kB/s
152.67.44.30,443,152.67.44.30,BR,S
