中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,6 ms,1664 Mbps,212992 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,8 ms,76 Mbps,9760 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,8 ms,69 Mbps,8923 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,840 Mbps,107520 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,255 Mbps,32665 kB/s
129.146.7.98,443,2a09:bac5:60ea:1173::1bd:9d,US,Los Angeles,隧道,58 ms,72 Mbps,9292 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,73 ms,372 Mbps,47616 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,71 ms,396 Mbps,50688 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,364 Mbps,46592 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,95 ms,45 Mbps,5801 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,49 Mbps,6348 kB/s
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,75 ms,348 Mbps,44646 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,237 Mbps,30412 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,12 ms,1680 Mbps,215040 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,45 Mbps,5833 kB/s
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,73 ms,311 Mbps,39833 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,92 ms,228 Mbps,29184 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,93 ms,44 Mbps,5709 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,392 Mbps,50176 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,212 Mbps,27136 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,99 ms,355 Mbps,45465 kB/s
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,81 ms,370 Mbps,47411 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,87 ms,49 Mbps,6358 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,300 Mbps,38502 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,158 ms,173 Mbps,22220 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,103 ms,47 Mbps,6113 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,170 ms,135 Mbps,17305 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,168 ms,3 Mbps,478 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,165 ms,43 Mbps,5507 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,192 ms,87 Mbps,11161 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,174 ms,136 Mbps,17510 kB/s
130.162.144.191,443,2a09:bac5:4730:155::22:11b,KR,Seoul,隧道,206 ms,37 Mbps,4810 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,202 ms,12 Mbps,1599 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,166 ms,38 Mbps,4896 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,237 ms,2 Mbps,285 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,22 Mbps,2863 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,219 ms,2 Mbps,285 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,39 Mbps,5054 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,203 ms,87 Mbps,11161 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,193 ms,33 Mbps,4343 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,232 ms,3 Mbps,465 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,200 ms,32 Mbps,4152 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,212 ms,0 Mbps,19 kB/s
