中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,73 ms,297 Mbps,38092 kB/s
198.23.196.40,443,198.23.196.40,US,Newark,中转,41 ms,556 Mbps,71168 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,237 Mbps,30412 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,236 Mbps,30208 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,59 ms,46 Mbps,5931 kB/s
198.46.188.190,443,2a09:bac1:7680:118::28a:6,US,Newark,隧道,20 ms,116 Mbps,14950 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,90 ms,210 Mbps,26931 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,36 ms,760 Mbps,97280 kB/s
23.95.166.181,443,23.95.166.181,US,Newark,中转,44 ms,491 Mbps,62873 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,591 Mbps,75673 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,292 Mbps,37376 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,87 ms,229 Mbps,29388 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,48 ms,272 Mbps,34816 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,89 ms,132 Mbps,16998 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,81 ms,180 Mbps,23040 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,318 Mbps,40755 kB/s
192.3.253.176,443,192.3.253.176,US,Seattle,中转,78 ms,205 Mbps,26316 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,59 ms,383 Mbps,49049 kB/s
35.230.79.26,443,34.105.119.202,US,Seattle,隧道,80 ms,273 Mbps,35020 kB/s
35.197.23.75,443,34.105.119.202,US,Seattle,隧道,73 ms,268 Mbps,34406 kB/s
107.172.218.159,443,107.172.218.159,US,San Jose,中转,70 ms,265 Mbps,33996 kB/s
144.21.35.5,443,2606:f240:f00:5a42:0:8fac:5cd7:c1c8,US,Frankfurt,隧道,97 ms,242 Mbps,31027 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,61 ms,355 Mbps,45465 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,340 Mbps,43520 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,23 ms,488 Mbps,62464 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,6 ms,34 Mbps,4476 kB/s
107.174.88.162,443,107.174.88.162,US,San Jose,中转,97 ms,264 Mbps,33894 kB/s
34.82.76.253,443,34.105.57.113,US,Seattle,隧道,66 ms,346 Mbps,44339 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,248 Mbps,31744 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,93 ms,34 Mbps,4399 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,252 Mbps,32256 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,324 Mbps,41472 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,90 ms,52 Mbps,6678 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,91 ms,47 Mbps,6123 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,72 ms,285 Mbps,36556 kB/s
13.38.56.6,443,13.38.56.6,FR,Paris,中转,93 ms,260 Mbps,33280 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,155 ms,120 Mbps,15360 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,238 Mbps,30515 kB/s
107.172.98.6,443,2a09:bac5:6214:1232::1d0:62,US,San Jose,隧道,82 ms,196 Mbps,25088 kB/s
