中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
75.127.7.171,443,75.127.7.171,US,Dallas,中转,37 ms,188 Mbps,24064 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,651 Mbps,83353 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,63 ms,188 Mbps,24166 kB/s
107.174.192.7,443,107.174.192.7,US,San Jose,中转,70 ms,299 Mbps,38297 kB/s
192.210.175.26,443,192.210.175.23,US,Amsterdam,隧道,91 ms,112 Mbps,14438 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,60 ms,328 Mbps,42086 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,91 ms,228 Mbps,29286 kB/s
89.168.82.236,443,89.168.82.236,DE,Frankfurt,中转,89 ms,212 Mbps,27238 kB/s
89.168.125.189,443,2606:f240:f00:6acf:0:e89d:cb80:50f9,US,Frankfurt,隧道,92 ms,204 Mbps,26214 kB/s
18.169.96.86,443,18.169.96.86,GB,London,中转,81 ms,246 Mbps,31539 kB/s
192.210.255.156,443,192.210.255.140,US,Amsterdam,隧道,91 ms,88 Mbps,11366 kB/s
146.235.207.245,443,146.235.207.245,US,San Jose,中转,97 ms,47 Mbps,6061 kB/s
143.47.227.23,443,143.47.227.23,GB,London,中转,80 ms,232 Mbps,29798 kB/s
130.162.166.152,443,2a0b:21c0:100a:1b3:0:2a15:2bf:2101,DE,Frankfurt,隧道,92 ms,92 Mbps,11878 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,209 Mbps,26828 kB/s
158.178.158.169,443,98.98.166.202,US,Frankfurt,隧道,199 ms,94 Mbps,12083 kB/s
18.195.159.175,443,18.195.159.175,DE,Frankfurt,中转,105 ms,201 Mbps,25804 kB/s
13.59.65.96,443,13.59.65.96,US,,中转,15 ms,704 Mbps,90214 kB/s
35.77.81.91,443,2406:da14:af0:9c00:79f7:78d3:5d6d:18e4,JP,Tokyo,隧道,155 ms,120 Mbps,15462 kB/s
