中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,76 ms,278 Mbps,35635 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,14 ms,59 Mbps,7663 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,50 ms,566 Mbps,72499 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,83 ms,271 Mbps,34713 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,43 ms,645 Mbps,82636 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,62 Mbps,8049 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,222 Mbps,28467 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,4 ms,754 Mbps,96563 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,283 Mbps,36249 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,99 ms,48 Mbps,6201 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,68 ms,46 Mbps,6010 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,47 Mbps,6053 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,84 ms,48 Mbps,6260 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,93 ms,316 Mbps,40550 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,321 Mbps,41164 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,69 ms,294 Mbps,37683 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,194 Mbps,24883 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,44 Mbps,5632 kB/s
130.61.23.77,443,130.61.23.77,108 Mbps,13926 kB/s
168.138.149.17,443,168.138.149.17,BR,S
