中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,183 ms,41 Mbps,5322 kB/s
8.219.72.167,443,8.219.72.167,SG,Singapore,中转,235 ms,0 Mbps,55 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,234 ms,75 Mbps,9673 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,169 ms,38 Mbps,4883 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,197 ms,93 Mbps,11980 kB/s
193.123.81.105,443,193.123.81.105,AE,Marseille,中转,234 ms,41 Mbps,5259 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,201 ms,77 Mbps,9932 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,25 ms,67 Mbps,8630 kB/s
8.219.107.225,443,47.236.51.143,SG,Singapore,隧道,241 ms,65 Mbps,8354 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,122 ms,68 Mbps,8719 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,205 ms,75 Mbps,9687 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,105 ms,158 Mbps,20275 kB/s
8.222.65.69,443,8.216.92.214,JP,Tokyo,隧道,270 ms,51 Mbps,6581 kB/s
8.218.202.1,443,8.218.202.1,HK,Hong Kong,中转,258 ms,89 Mbps,11468 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,201 ms,36 Mbps,4716 kB/s
8.222.249.195,443,47.236.1.53,SG,Singapore,隧道,265 ms,68 Mbps,8819 kB/s
8.219.149.236,443,8.219.142.198,SG,Singapore,隧道,251 ms,73 Mbps,9441 kB/s
47.245.94.171,443,47.236.58.234,SG,Singapore,隧道,255 ms,71 Mbps,9148 kB/s
193.123.235.59,443,193.123.235.59,KR,Seoul,中转,198 ms,83 Mbps,10649 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,47 Mbps,6056 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,229 ms,34 Mbps,4391 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,203 ms,93 Mbps,11980 kB/s
8.222.68.129,443,8.216.92.214,JP,Tokyo,隧道,252 ms,28 Mbps,3643 kB/s
8.222.164.171,443,8.219.96.61,SG,Singapore,隧道,254 ms,61 Mbps,7906 kB/s
8.219.78.53,443,8.219.78.53,SG,Singapore,中转,224 ms,0 Mbps,28 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,394 ms,25 Mbps,3295 kB/s
130.162.144.191,443,2a09:bac5:4752:1a14::299:58,KR,Seoul,隧道,216 ms,14 Mbps,1862 kB/s
168.138.194.74,443,168.138.194.74,JP,Tokyo,中转,400 ms,21 Mbps,2751 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,88 ms,47 Mbps,6080 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,133 ms,168 Mbps,21606 kB/s
47.253.161.22,443,47.253.161.22,US,Ashburn,中转,43 ms,26 Mbps,3363 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,42 ms,54 Mbps,7015 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,121 ms,42 Mbps,5454 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,104 ms,29 Mbps,3755 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,147 ms,129 Mbps,16588 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,47 ms,95 Mbps,12185 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,198 ms,37 Mbps,4848 kB/s
8.219.72.222,443,8.222.222.65,SG,Singapore,隧道,243 ms,65 Mbps,8418 kB/s
143.47.233.45,443,2a0b:21c0:1007:1ca:0:ee72:c5e1:9a86,DE,Frankfurt,隧道,121 ms,126 Mbps,16179 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,61 ms,321 Mbps,41164 kB/s
141.147.154.214,443,141.147.154.214,JP,Osaka,中转,238 ms,33 Mbps,4346 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,37 ms,7 Mbps,924 kB/s
141.148.220.141,443,2a09:bac1:3680:18::2a5:34,IN,Mumbai,隧道,222 ms,32 Mbps,4200 kB/s
8.219.77.250,443,8.222.220.238,SG,Singapore,隧道,241 ms,63 Mbps,8116 kB/s
132.226.128.25,443,2a0b:21c0:1007:c9:0:f94b:14b7:9842,DE,Frankfurt,隧道,152 ms,229 Mbps,29388 kB/s
8.222.254.108,443,8.222.236.107,SG,Singapore,隧道,243 ms,71 Mbps,9197 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,132 ms,45 Mbps,5813 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,192 ms,36 Mbps,4622 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,74 ms,0 Mbps,58 kB/s
8.222.165.79,443,8.222.236.107,SG,Singapore,隧道,235 ms,70 Mbps,9052 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,235 ms,80 Mbps,10342 kB/s
193.122.101.195,443,193.122.101.195,KR,Seoul,中转,220 ms,121 Mbps,15564 kB/s
194.36.24.34,443,2a0f:5707:fa21::1,US,San Jose,隧道,69 ms,568 Mbps,72806 kB/s
47.254.17.234,443,47.254.17.234,US,San Jose,中转,73 ms,1 Mbps,183 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,41 ms,21 Mbps,2740 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,237 ms,88 Mbps,11264 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,209 ms,29 Mbps,3799 kB/s
8.222.69.185,443,8.216.92.214,JP,Tokyo,隧道,260 ms,11 Mbps,1502 kB/s
138.2.163.53,443,2606:f240:f00:5a42:0:9c9c:374f:9630,US,Frankfurt,隧道,124 ms,198 Mbps,25395 kB/s
8.212.44.95,443,47.76.21.100,HK,Hong Kong,隧道,276 ms,69 Mbps,8852 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,244 ms,99 Mbps,12697 kB/s
8.222.206.152,443,47.245.84.175,SG,Singapore,隧道,258 ms,62 Mbps,8014 kB/s
8.210.58.6,443,8.210.58.6,HK,Hong Kong,中转,240 ms,11 Mbps,1440 kB/s
158.178.238.239,443,104.28.222.47,SG,Singapore,隧道,205 ms,34 Mbps,4392 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,199 ms,92 Mbps,11878 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,267 ms,6 Mbps,813 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,217 ms,32 Mbps,4137 kB/s
140.238.212.95,443,140.238.212.95,CH,Zurich,中转,135 ms,39 Mbps,5067 kB/s
47.245.117.109,443,47.245.84.175,SG,Singapore,隧道,218 ms,61 Mbps,7885 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,231 ms,35 Mbps,4523 kB/s
64.110.79.188,443,64.110.79.188,KR,Seoul,中转,213 ms,71 Mbps,9104 kB/s
8.222.191.201,443,8.222.210.246,SG,Singapore,隧道,242 ms,68 Mbps,8741 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,211 ms,39 Mbps,5045 kB/s
47.245.124.169,443,8.222.207.55,SG,Singapore,隧道,262 ms,68 Mbps,8745 kB/s
47.245.127.75,443,8.222.236.107,SG,Singapore,隧道,226 ms,63 Mbps,8134 kB/s
8.219.136.114,443,8.222.222.65,SG,Singapore,隧道,239 ms,68 Mbps,8714 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,241 ms,33 Mbps,4289 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,210 ms,38 Mbps,4948 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,183 ms,101 Mbps,13004 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,237 ms,42 Mbps,5486 kB/s
132.145.124.173,443,132.145.124.173,JP,Tokyo,中转,410 ms,36 Mbps,4701 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,221 ms,37 Mbps,4798 kB/s
8.219.79.98,443,8.219.142.198,SG,Singapore,隧道,236 ms,67 Mbps,8672 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,216 ms,73 Mbps,9371 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,238 ms,21 Mbps,2715 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,359 ms,24 Mbps,3106 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,258 ms,65 Mbps,8372 kB/s
152.67.96.55,443,152.67.96.55,AU,Sydney,中转,211 ms,18 Mbps,2320 kB/s
47.245.94.130,443,8.222.207.55,SG,Singapore,隧道,217 ms,71 Mbps,9095 kB/s
8.218.31.104,443,8.218.31.104,HK,Hong Kong,中转,260 ms,10 Mbps,1401 kB/s
8.222.228.176,443,8.222.210.246,SG,Singapore,隧道,226 ms,71 Mbps,9156 kB/s
8.213.237.199,443,8.213.237.199,TH,Bangkok,中转,269 ms,59 Mbps,7562 kB/s
47.57.245.232,443,47.88.1.44,US,San Jose,隧道,249 ms,2 Mbps,281 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,209 ms,1 Mbps,129 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,238 ms,0 Mbps,26 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,52 ms,505 Mbps,64716 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,623 ms,0 Mbps,15 kB/s
