中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,840 Mbps,107520 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,307 Mbps,39321 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,382 Mbps,48947 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,68 ms,348 Mbps,44544 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,235 Mbps,30105 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,7 Mbps,963 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,68 ms,358 Mbps,45875 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,89 ms,307 Mbps,39321 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,252 Mbps,32256 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,434 Mbps,55603 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,354 Mbps,45363 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,298 Mbps,38195 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,45 Mbps,5835 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,75 ms,332 Mbps,42496 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,48 Mbps,6167 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,120 Mbps,15462 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,167 ms,39 Mbps,5091 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,40 Mbps,5126 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,42 Mbps,5489 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,43 Mbps,5535 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,249 ms,10 Mbps,1329 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,242 ms,58 Mbps,7543 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,278 ms,15 Mbps,2026 kB/s
