中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ed:183c::26a:5f,US,Los Angeles,隧道,65 ms,68 Mbps,8772 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,370 Mbps,47411 kB/s
192.210.175.20,443,192.210.175.20,NL,Amsterdam,中转,101 ms,28 Mbps,3707 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,89 ms,208 Mbps,26726 kB/s
192.18.150.121,443,2a09:bac1:1480:248::312:77,CA,Toronto,隧道,45 ms,449 Mbps,57548 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,67 ms,306 Mbps,39219 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,13 ms,340 Mbps,43520 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,21 ms,474 Mbps,60723 kB/s
23.224.22.211,443,23.224.22.211,US,Los Angeles,中转,66 ms,45 Mbps,5767 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,61 ms,42 Mbps,5402 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,66 ms,288 Mbps,36966 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,64 ms,232 Mbps,29798 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,39 ms,404 Mbps,51814 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,132 ms,375 Mbps,48025 kB/s
198.12.97.48,443,198.12.97.48,US,Chicago,中转,26 ms,493 Mbps,63180 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,75 ms,500 Mbps,64102 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,69 ms,62 Mbps,7991 kB/s
35.197.23.75,443,35.197.107.113,US,Seattle,隧道,72 ms,303 Mbps,38809 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,73 ms,264 Mbps,33792 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,111 ms,51 Mbps,6644 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,210 Mbps,26931 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,91 ms,44 Mbps,5664 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,69 ms,274 Mbps,35123 kB/s
35.230.79.26,443,35.197.107.113,US,Seattle,隧道,75 ms,284 Mbps,36352 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,89 ms,51 Mbps,6545 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,376 Mbps,48230 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,238 Mbps,30515 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,85 ms,270 Mbps,34611 kB/s
13.57.182.91,443,2a09:bac1:76a0:1cf0::4:265,US,San Jose,隧道,81 ms,295 Mbps,37785 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,245 Mbps,31436 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,89 ms,295 Mbps,37785 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,117 ms,140 Mbps,18022 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,139 ms,234 Mbps,30003 kB/s
35.198.83.144,443,2a0b:21c0:100a:1b4:0:573:ac0:5540,DE,Frankfurt,隧道,100 ms,132 Mbps,16998 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,228 Mbps,29286 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,191 ms,4 Mbps,521 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,223 ms,2 Mbps,291 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,275 ms,55 Mbps,7143 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,224 ms,38 Mbps,4893 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,249 ms,57 Mbps,7308 kB/s
8.219.52.156,443,8.219.52.156,SG,Singapore,中转,250 ms,28 Mbps,3694 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,247 ms,56 Mbps,7223 kB/s
8.219.228.186,443,8.219.228.186,SG,Singapore,中转,249 ms,55 Mbps,7164 kB/s
8.219.179.34,443,8.219.179.34,SG,Singapore,中转,252 ms,63 Mbps,8110 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,309 ms,50 Mbps,6462 kB/s
8.219.103.126,443,8.219.103.126,SG,Singapore,中转,246 ms,53 Mbps,6880 kB/s
47.245.115.6,443,47.245.115.6,SG,Singapore,中转,250 ms,48 Mbps,6159 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,182 ms,80 Mbps,10342 kB/s
47.236.12.195,443,47.236.12.195,SG,Singapore,中转,247 ms,54 Mbps,6939 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,301 ms,49 Mbps,6281 kB/s
8.219.170.180,443,8.219.170.180,SG,Singapore,中转,248 ms,48 Mbps,6270 kB/s
8.222.205.210,443,8.222.205.210,SG,Singapore,中转,249 ms,48 Mbps,6246 kB/s
18.163.233.64,443,18.163.233.64,US,Hong Kong,中转,206 ms,75 Mbps,9640 kB/s
47.236.87.206,443,47.236.87.206,SG,Singapore,中转,250 ms,47 Mbps,6072 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,324 ms,100 Mbps,12902 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,251 ms,67 Mbps,8635 kB/s
64.110.103.69,443,64.110.103.69,JP,Hong Kong,中转,232 ms,38 Mbps,4871 kB/s
8.222.225.193,443,8.222.225.193,SG,Singapore,中转,248 ms,3 Mbps,451 kB/s
8.219.156.148,443,8.219.156.148,SG,Singapore,中转,249 ms,56 Mbps,7210 kB/s
8.219.3.53,443,8.219.3.53,SG,Singapore,中转,248 ms,56 Mbps,7257 kB/s
8.219.137.50,443,8.219.137.50,SG,Singapore,中转,250 ms,69 Mbps,8865 kB/s
8.222.254.91,443,8.222.254.91,SG,Singapore,中转,250 ms,55 Mbps,7125 kB/s
8.222.128.131,443,8.222.128.131,SG,Singapore,中转,248 ms,56 Mbps,7250 kB/s
47.236.116.182,443,47.236.116.182,SG,Singapore,中转,286 ms,56 Mbps,7168 kB/s
8.219.170.223,443,8.219.170.223,SG,Singapore,中转,249 ms,22 Mbps,2893 kB/s
129.151.152.254,443,129.151.152.254,AE,Amsterdam,中转,194 ms,11 Mbps,1470 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,214 ms,3 Mbps,501 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,87 ms,218 Mbps,27955 kB/s
3.135.201.228,443,3.135.201.228,US,,中转,23 ms,693 Mbps,88780 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,184 ms,208 Mbps,26624 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,81 ms,268 Mbps,34304 kB/s
44.230.218.23,443,52.10.49.23,US,,隧道,86 ms,7 Mbps,970 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,249 ms,53 Mbps,6888 kB/s
34.70.91.86,443,34.70.91.86,US,,中转,34 ms,480 Mbps,61440 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,101 ms,63 Mbps,8142 kB/s
18.237.22.14,443,18.237.22.14,US,,中转,92 ms,199 Mbps,25497 kB/s
13.57.249.176,443,13.57.249.176,US,,中转,148 ms,310 Mbps,39731 kB/s
18.217.204.236,443,18.217.204.236,US,,中转,117 ms,436 Mbps,55808 kB/s
34.150.180.124,443,34.150.180.124,US,,中转,13 ms,599 Mbps,76697 kB/s
204.110.220.3,443,204.110.220.107,US,,隧道,94 ms,201 Mbps,25804 kB/s
47.254.66.75,443,47.254.66.75,US,San Jose,中转,68 ms,221 Mbps,28364 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,91 ms,249 Mbps,31948 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,80 ms,288 Mbps,36864 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,205 ms,66 Mbps,8495 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,205 ms,68 Mbps,8748 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,93 ms,237 Mbps,30412 kB/s
146.70.175.181,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,86 ms,233 Mbps,29900 kB/s
146.70.175.100,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,93 ms,234 Mbps,30003 kB/s
8.219.60.68,443,8.219.60.68,SG,Singapore,中转,246 ms,59 Mbps,7657 kB/s
8.219.109.183,443,8.219.109.183,SG,Singapore,中转,250 ms,51 Mbps,6600 kB/s
