中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,36 ms,517 Mbps,66252 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,101 ms,274 Mbps,35123 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,218 Mbps,27955 kB/s
150.136.241.40,443,150.136.241.40,,Ashburn,中转,0 ms,824 Mbps,105472 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,140 ms,221 Mbps,28364 kB/s
152.67.254.70,443,152.67.254.70,US,San Jose,中转,74 ms,27 Mbps,3474 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,218 Mbps,27955 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,70 ms,49 Mbps,6368 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,19 ms,79 Mbps,10137 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,25 ms,596 Mbps,76390 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,73 ms,229 Mbps,29388 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,72 ms,272 Mbps,34918 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,74 ms,247 Mbps,31641 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,44 Mbps,5759 kB/s
193.122.197.111,443,193.122.197.111,,colo.txt:Ashburn,中转,0 ms,356 Mbps,45670 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,244 Mbps,31232 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,80 ms,392 Mbps,50176 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,89 ms,243 Mbps,31129 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,173 Mbps,22220 kB/s
35.197.23.75,443,34.168.165.202,US,Seattle,隧道,71 ms,304 Mbps,38912 kB/s
35.230.79.26,443,34.168.165.202,US,Seattle,隧道,102 ms,256 Mbps,32870 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,264 Mbps,33894 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,69 ms,313 Mbps,40140 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,44 Mbps,5709 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,219 Mbps,28057 kB/s
138.2.182.169,443,98.98.156.14,AE,Frankfurt,隧道,93 ms,120 Mbps,15360 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,96 ms,292 Mbps,37478 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,80 ms,280 Mbps,35942 kB/s
129.154.50.220,443,129.154.50.220,KR,Tokyo,中转,192 ms,76 Mbps,9825 kB/s
47.90.141.204,443,91.149.239.252,US,Los Angeles,隧道,60 ms,7 Mbps,949 kB/s
138.2.128.139,443,98.98.166.170,AE,Frankfurt,隧道,92 ms,207 Mbps,26521 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,93 ms,45 Mbps,5871 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,96 ms,42 Mbps,5474 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,92 ms,79 Mbps,10137 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,221 ms,67 Mbps,8583 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,224 ms,66 Mbps,8508 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,90 Mbps,11571 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,106 Mbps,13619 kB/s
141.147.44.223,443,2606:f240:f00:2be4:0:77f7:e7c3:f26f,US,Frankfurt,隧道,91 ms,212 Mbps,27136 kB/s
130.162.252.37,443,23.236.112.222,AE,Frankfurt,隧道,91 ms,140 Mbps,18022 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,186 ms,39 Mbps,5107 kB/s
129.159.130.38,443,129.159.130.38,IL,Paris,中转,129 ms,46 Mbps,6009 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,220 ms,36 Mbps,4677 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,296 ms,37 Mbps,4822 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,102 ms,245 Mbps,31436 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,207 ms,37 Mbps,4813 kB/s
45.76.220.61,443,45.76.220.61,JP,Tokyo,中转,161 ms,92 Mbps,11776 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,231 ms,2 Mbps,306 kB/s
8.219.144.168,443,8.219.144.168,SG,Singapore,中转,223 ms,62 Mbps,8043 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,224 ms,65 Mbps,8363 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,231 ms,0 Mbps,43 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,226 ms,75 Mbps,9624 kB/s
158.180.68.56,443,158.180.68.56,KR,Hong Kong,中转,188 ms,69 Mbps,8897 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,223 ms,55 Mbps,7069 kB/s
140.238.120.163,443,2606:f240:f00:eaf1:0:c554:cf25:4610,US,Frankfurt,隧道,96 ms,107 Mbps,13721 kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,36 ms,631 Mbps,80793 kB/s
141.147.190.128,443,141.147.190.128,JP,Tokyo,中转,206 ms,36 Mbps,4702 kB/s
8.218.204.128,443,8.218.204.128,HK,Hong Kong,中转,208 ms,59 Mbps,7629 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,91 ms,216 Mbps,27648 kB/s
8.219.126.240,443,8.219.126.240,SG,Singapore,中转,226 ms,64 Mbps,8200 kB/s
103.137.63.3,443,111.247.41.9,TW,,隧道,187 ms,84 Mbps,10854 kB/s
140.83.61.244,443,140.83.61.244,JP,Osaka,中转,217 ms,23 Mbps,3059 kB/s
141.147.178.154,443,141.147.178.154,JP,Tokyo,中转,211 ms,35 Mbps,4555 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,84 ms,95 Mbps,12185 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,234 ms,60 Mbps,7802 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,224 ms,59 Mbps,7650 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,93 ms,211 Mbps,27033 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,314 ms,52 Mbps,6776 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,91 ms,208 Mbps,26726 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,211 Mbps,27033 kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,50 ms,570 Mbps,73011 kB/s
54.203.85.46,443,204.110.220.28,US,,隧道,111 ms,221 Mbps,28364 kB/s
193.122.110.171,443,193.122.110.171,KR,Tokyo,中转,188 ms,36 Mbps,4608 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,229 ms,65 Mbps,8389 kB/s
204.110.220.3,443,204.110.220.234,US,,隧道,92 ms,206 Mbps,26419 kB/s
193.123.81.105,443,193.123.81.105,AE,Paris,中转,311 ms,26 Mbps,3407 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,91 ms,177 Mbps,22732 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,128 ms,197 Mbps,25292 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,91 ms,226 Mbps,28979 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,175 ms,221 Mbps,28364 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,92 ms,221 Mbps,28364 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,83 ms,113 Mbps,14540 kB/s
141.147.60.120,443,2a0b:21c0:1007:c8:0:7229:9abb:84b7,DE,Frankfurt,隧道,91 ms,176 Mbps,22528 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,46 ms,59 Mbps,7664 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,85 ms,81 Mbps,10444 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,91 ms,79 Mbps,10137 kB/s
